"length"	"TGL49_0196_Ct_T_PE_319_CM"	"TGL49_0197_Ct_T_PE_313_CM"	"TGL49_0198_Ct_T_PE_312_CM"	"TGL49_0199_Ct_T_PE_312_CM"	"TGL49_0200_Ct_T_PE_310_CM"	"TGL49_0201_Cf_R_PE_423_CM"	"TGL49_0201_Ct_T_PE_318_CM"	"TGL49_0255_Ct_n_PE_220318_CM"	"TGL49_0256_Ct_n_PE_220318_CM"	"TGL49_0257_Ct_n_PE_220318_CM"	"TGL49_0258_Ct_n_PE_220318_CM"	"TGL49_0259_Ct_n_PE_220318_CM"	"TGL49_0260_Ct_n_PE_220318_CM"	"TGL49_0261_Ct_n_PE_220318_CM"	"TGL49_0263_Ct_n_PE_220318_CM"	"TGL49_0264_Pb_U_PE_414_CM"	"TGL49_0265_Pb_U_PE_421_CM"	"TGL49_0266_Pb_U_PE_379_CM"	"TGL49_0267_Cf_R_PE_389_CM"	"TGL49_0267_Pb_U_PE_412_CM"	"TGL49_0268_Pb_U_PE_378_CM"	"TGL49_0301_Cf_R_PE_431_CM"	"TGL49_0302_Cf_R_PE_394_CM"	"TGL49_0303_Cf_R_PE_403_CM"	"TGL49_0304_Cf_R_PE_387_CM"	"TGL49_0305_Cf_R_PE_417_CM"	"TGL49_0306_Cf_R_PE_375_CM"	"TGL49_0307_Cf_R_PE_388_CM"
"60"	0.111082292612689	0.118725411394777	0.0943666283568718	0.0793178943163222	0.0894115843748559	0.0214915911591773	0.0429804466384747	0.059899535680442	0.0539951633022332	0.0430267908962877	0.0323150920157972	0.0484366255426737	0.0572677327365569	0.0504107578391946	0.046605879855785	0.0195423942838927	0.0176427473389937	0.0101724946387866	0.0377252535376977	0.0319533171063437	0.0357618448956511	0.0394606619725525	0.0556764287934093	0.0162512904409351	0.0644607456925088	0.0389248617592578	0.0302997743210453	0.0157939381645097
"61"	0.108558238509934	0.115915383073624	0.0909605574314455	0.0778716652677289	0.0873005235558311	0.021533109342733	0.0435987863973886	0.0585718407054644	0.0523536245637491	0.0418850235960591	0.0315532975699932	0.0482633319618894	0.0555594697203328	0.0499071099394413	0.0461757261265024	0.0205431887048189	0.0175778842973062	0.0115807677405146	0.0372558068984453	0.0324377318007054	0.0349639975542655	0.0384179284875241	0.0531389315098245	0.0182679262174937	0.0659420947280789	0.03770979627553	0.0418448909152714	0.0197941857436698
"62"	0.088655407684953	0.0865941436997725	0.0745424209735061	0.0614539774896481	0.0677477150762403	0.0199850742130117	0.0350159194293183	0.0505126805460673	0.0439241013120738	0.0359165290691467	0.0277524815984229	0.0409379341766369	0.0477425556736151	0.0409094002382934	0.037755319562875	0.0190715904568441	0.0163887285330358	0.0146119359406848	0.0322483760797534	0.0294259360922826	0.0314235499768666	0.0334672112455633	0.045872112851082	0.0172864729265931	0.0549344106712098	0.0342256022900991	0.0375277856700328	0.0177761174342384
"63"	0.0771510347745045	0.0703147282021256	0.0631410722908915	0.0498578500272907	0.0565448150293865	0.0205781911209509	0.0301897581663481	0.0454636511470604	0.0398609232183935	0.033435217561211	0.0255666046018975	0.0363403057185448	0.044179756355374	0.0362006920961556	0.0337032321495876	0.0194186401350685	0.0183963941090768	0.013897509294088	0.0303731975596286	0.0280900346991361	0.0294427831397459	0.0345280792259835	0.0407100598503686	0.0198475645433593	0.0484984218826266	0.0308143625469624	0.0327513877104549	0.0173482096531689
"64"	0.0778790251157199	0.0687027916956872	0.0625167069358026	0.0507518825300575	0.0563586949330232	0.0227578957576275	0.0292680819219291	0.0488147463757328	0.0422603796176642	0.0355622293330503	0.0271587060560831	0.0402896878188883	0.0495239553327357	0.0395803293917222	0.0340489264708375	0.0231608579832093	0.0199778168397429	0.0199451455576672	0.0309913023013109	0.0304850290886511	0.0310550996421295	0.0375678740160336	0.04327828363991	0.0233901094510263	0.0523215631169809	0.0328973319476388	0.034348445754686	0.0198935707766924
"65"	0.0755011004610198	0.065661833463683	0.060432249835934	0.0489757698307106	0.0547040107886426	0.0197241027735185	0.0285389076779267	0.0439052024410232	0.0375705330190896	0.0320507792088615	0.0232681712525659	0.0362868200454632	0.0433038579892571	0.0352973236410426	0.0318372684837499	0.0189585975383524	0.0177415862596603	0.0189984567502425	0.0294316962442391	0.0271181965234911	0.0271766750659491	0.0326080895263769	0.0399367761171268	0.0206749941426223	0.0467854150723451	0.0317426423885682	0.0331577324711305	0.0171798072361028
"66"	0.0739441576144787	0.0658813312007299	0.0617781580332851	0.0504721985652882	0.0554102473186787	0.0204951547538394	0.0290775243861631	0.0452604501003064	0.0388201728695572	0.0327072044048485	0.0251229041966326	0.0381502608956253	0.044068310042389	0.0356570721408663	0.0330275568853264	0.0197172642767965	0.0182574018768893	0.0206066517119235	0.0298724544777594	0.0282073773890746	0.0288166946010197	0.0335193479198147	0.0410122038256087	0.0215418251513739	0.0486985615927515	0.0316344688568905	0.0340061310775108	0.0180825546193915
"67"	0.0770500726103943	0.0690114603884095	0.0651356402151247	0.0522052829623628	0.0586380287158833	0.0209726138647305	0.0326300613029426	0.0463212284460732	0.0397093396862361	0.0330105432199995	0.0261864801680763	0.037936318203299	0.0453795455686038	0.0375337601482803	0.0340724965381955	0.0197603091981267	0.0190357583771391	0.0218414631998687	0.0313694676495975	0.0283969309651292	0.0302988068497743	0.0339319076899781	0.0439747511082603	0.0219000197830895	0.0503438045641719	0.032970286189933	0.0355551665591166	0.0180991187915619
"68"	0.0856026306701481	0.0818566508751763	0.0745837214055548	0.0592619245350033	0.0668655568112855	0.0235586035833455	0.0356342591882323	0.0525274705859166	0.0461775199181686	0.0393758049171295	0.0293413205496287	0.0441470745615314	0.0519409472455992	0.043515578259239	0.0390988134022781	0.0229187303007272	0.0207932379352426	0.0248344110444597	0.0354797337799405	0.03256710963833	0.0363657710082278	0.0381708459878109	0.0500150700709006	0.0255177855634167	0.0580893689363282	0.0379689096188508	0.039490553998872	0.0218674679603359
"69"	0.10793652413094	0.11146140815938	0.0947480499940272	0.077539391155738	0.0882311240376476	0.0270609589247265	0.0433323947402465	0.063176583070043	0.0561080898541334	0.0459764575348167	0.0353019134938852	0.0537466831662124	0.0639649596075028	0.0537584174903325	0.0471126363039809	0.0279496054811896	0.0237614942715124	0.0301294003058628	0.0422345493114052	0.0369057803791348	0.0436849122441338	0.0435975937338065	0.0629765345002714	0.0299558170503725	0.0717035969345089	0.0446832155734465	0.048013943190983	0.0252465590831046
